id,number,title,state,created_at,updated_at,closed_at,assignee,milestone,html_url,refatoracao,testes_regressao,prioridade,tempo_resolucao_dias
2814662161,41183,Provide a general summary of the issue,closed,2025-01-28 05:21:36+00:00,2025-01-28 06:26:07+00:00,2025-01-28 06:26:07+00:00,,,https://github.com/twbs/bootstrap/issues/41183,False,False,média,0
2806080367,41171,Build(deps-dev): Bump the development-dependencies group across 1 directory with 3 updates,closed,2025-01-23 06:54:09+00:00,2025-01-23 06:57:40+00:00,2025-01-23 06:57:39+00:00,,,https://github.com/twbs/bootstrap/pull/41171,False,False,média,0
2802002054,41169,Animation problem,closed,2025-01-21 14:24:26+00:00,2025-01-22 19:26:55+00:00,2025-01-22 19:26:54+00:00,,,https://github.com/twbs/bootstrap/issues/41169,False,False,média,1
2801431974,41168,Build(deps-dev): Bump the development-dependencies group with 2 updates,closed,2025-01-21 10:46:30+00:00,2025-01-23 06:54:01+00:00,2025-01-23 06:54:00+00:00,,,https://github.com/twbs/bootstrap/pull/41168,False,False,média,1
2799523829,41166,$border-widths map don't use $border-width variable,closed,2025-01-20 15:10:19+00:00,2025-01-20 18:23:54+00:00,2025-01-20 18:23:53+00:00,,,https://github.com/twbs/bootstrap/issues/41166,False,False,média,0
2797796118,41163,Please ship a new patch version,closed,2025-01-19 19:41:13+00:00,2025-01-20 18:24:51+00:00,2025-01-20 18:24:50+00:00,,,https://github.com/twbs/bootstrap/issues/41163,False,False,média,0
2796928618,41162,Sortable.js doesn't work with bootstrap 5 modal,closed,2025-01-18 11:26:41+00:00,2025-01-20 18:22:23+00:00,2025-01-20 18:22:22+00:00,,,https://github.com/twbs/bootstrap/issues/41162,False,False,média,2
2796799258,41160,Breaking Change: `@import` and global built-in functions. Please support this major changes in Sass,closed,2025-01-18 06:43:32+00:00,2025-01-21 02:15:37+00:00,2025-01-20 10:28:57+00:00,,,https://github.com/twbs/bootstrap/issues/41160,False,False,média,2
2789602232,41156,"Cannot build 5.3.3, stopped at syncing docs",closed,2025-01-15 11:52:17+00:00,2025-01-15 21:57:35+00:00,2025-01-15 21:57:34+00:00,,,https://github.com/twbs/bootstrap/issues/41156,False,False,média,0
2789569191,41155,Build(deps-dev): Bump the development-dependencies group across 1 directory with 4 updates,closed,2025-01-15 11:38:36+00:00,2025-01-15 11:44:17+00:00,2025-01-15 11:44:15+00:00,,,https://github.com/twbs/bootstrap/pull/41155,False,False,média,0
2786830250,41152,Build(deps-dev): Bump the development-dependencies group across 1 directory with 4 updates,closed,2025-01-14 10:53:07+00:00,2025-01-15 11:38:43+00:00,2025-01-15 11:38:41+00:00,,,https://github.com/twbs/bootstrap/pull/41152,False,False,média,1
2776354395,41146,IPhone Keyboard block Bootstrap 5 Bottom Canvas,closed,2025-01-08 21:09:28+00:00,2025-01-10 09:47:16+00:00,2025-01-10 09:47:16+00:00,,,https://github.com/twbs/bootstrap/issues/41146,False,False,média,1
2776329810,41145,Kinda min width by .col elements within nested grid system?,closed,2025-01-08 20:53:54+00:00,2025-01-12 21:11:52+00:00,2025-01-12 21:11:52+00:00,,,https://github.com/twbs/bootstrap/issues/41145,False,False,média,4
2774979980,41144,feat: add responsive support to background-color utility,closed,2025-01-08 10:21:32+00:00,2025-01-12 21:13:52+00:00,2025-01-12 21:13:52+00:00,,,https://github.com/twbs/bootstrap/pull/41144,False,False,média,4
2772501436,41140,Build(deps-dev): Bump the development-dependencies group across 1 directory with 2 updates,closed,2025-01-07 10:41:46+00:00,2025-01-14 10:52:56+00:00,2025-01-14 10:52:54+00:00,,,https://github.com/twbs/bootstrap/pull/41140,False,False,média,7
2772045590,41138,Link a modal backdrop to its open Modal,closed,2025-01-07 06:58:10+00:00,2025-01-12 21:19:58+00:00,2025-01-12 21:19:57+00:00,,,https://github.com/twbs/bootstrap/issues/41138,False,False,média,5
2768310421,41133,"When using dark-theme safari search/tab bar background stays static as the dark theme background color, in light theme it is properly blurring the content behind it.",closed,2025-01-04 00:10:54+00:00,2025-01-12 21:19:23+00:00,2025-01-12 21:19:23+00:00,,,https://github.com/twbs/bootstrap/issues/41133,False,False,média,8
2768182079,41132,chore: bump license year,closed,2025-01-03 21:14:24+00:00,2025-01-15 11:53:37+00:00,2025-01-15 11:53:37+00:00,,,https://github.com/twbs/bootstrap/pull/41132,False,False,média,11
2764242762,41127,Build(deps-dev): Bump the development-dependencies group across 1 directory with 2 updates,closed,2024-12-31 10:54:56+00:00,2025-01-07 10:41:53+00:00,2025-01-07 10:41:51+00:00,,,https://github.com/twbs/bootstrap/pull/41127,False,False,média,6
2762396813,41126,Fix display issues of close button in contextual light and dark modes,closed,2024-12-29 20:33:46+00:00,2024-12-31 08:09:02+00:00,2024-12-31 08:09:00+00:00,,,https://github.com/twbs/bootstrap/pull/41126,False,False,média,1
2762175431,41125,Main,closed,2024-12-29 09:32:49+00:00,2024-12-29 10:36:06+00:00,2024-12-29 09:48:09+00:00,,,https://github.com/twbs/bootstrap/pull/41125,False,False,média,0
2761460096,41124,Scrollspy component js error issue,closed,2024-12-28 04:47:07+00:00,2024-12-28 13:08:19+00:00,2024-12-28 06:31:47+00:00,,,https://github.com/twbs/bootstrap/issues/41124,False,False,média,0
2761411321,41123,Bluesky icon,closed,2024-12-28 03:12:17+00:00,2024-12-28 06:29:27+00:00,2024-12-28 06:29:21+00:00,,,https://github.com/twbs/bootstrap/issues/41123,False,False,média,0
2758828021,41122,Add Responsive Pokemon Cards Interface,closed,2024-12-25 14:08:30+00:00,2024-12-26 11:46:03+00:00,2024-12-26 11:46:03+00:00,,,https://github.com/twbs/bootstrap/pull/41122,False,False,média,0
2758389119,41121,Update dependabot.yml,closed,2024-12-25 01:14:37+00:00,2024-12-25 07:00:36+00:00,2024-12-25 07:00:36+00:00,,,https://github.com/twbs/bootstrap/pull/41121,False,False,média,0
2757563550,41120,Build(deps-dev): Bump the development-dependencies group with 2 updates,closed,2024-12-24 10:26:39+00:00,2024-12-31 10:55:02+00:00,2024-12-31 10:55:01+00:00,,,https://github.com/twbs/bootstrap/pull/41120,False,False,média,7
2754671395,41118,breakpoints interact badly with devicePixelRatio for DPI that are slightly above 96.,closed,2024-12-22 13:56:01+00:00,2024-12-28 07:20:39+00:00,2024-12-28 06:38:37+00:00,,,https://github.com/twbs/bootstrap/issues/41118,False,False,média,5
2753180857,41115,How to create responsible web for Samsung S24+ when the innerWidth is same regardless of orientation,closed,2024-12-20 17:37:17+00:00,2024-12-21 06:52:25+00:00,2024-12-21 06:52:25+00:00,,,https://github.com/twbs/bootstrap/issues/41115,False,False,média,0
2746985526,41110,Bug: Some CSS Variables Are Declared Only for the Light Theme,closed,2024-12-18 07:12:41+00:00,2024-12-18 07:16:52+00:00,2024-12-18 07:16:52+00:00,,,https://github.com/twbs/bootstrap/issues/41110,False,False,média,0
2745785026,41109,Build(deps-dev): Bump the development-dependencies group across 1 directory with 8 updates,closed,2024-12-17 18:59:30+00:00,2024-12-18 08:03:36+00:00,2024-12-18 08:03:34+00:00,,,https://github.com/twbs/bootstrap/pull/41109,False,False,média,0
2745144693,41108,Build(deps-dev): Bump the development-dependencies group across 1 directory with 8 updates,closed,2024-12-17 14:53:35+00:00,2024-12-17 18:59:37+00:00,2024-12-17 18:59:35+00:00,,,https://github.com/twbs/bootstrap/pull/41108,False,False,média,0
2744775774,41107,abce,closed,2024-12-17 12:14:10+00:00,2024-12-17 13:37:59+00:00,2024-12-17 13:37:59+00:00,,,https://github.com/twbs/bootstrap/pull/41107,False,False,média,0
2744550218,41106,Build(deps-dev): Bump the development-dependencies group across 1 directory with 8 updates,closed,2024-12-17 10:32:55+00:00,2024-12-17 14:53:42+00:00,2024-12-17 14:53:41+00:00,,,https://github.com/twbs/bootstrap/pull/41106,False,False,média,0
2742759891,41105,`!important` does not allow to override when using with CSS layers,closed,2024-12-16 15:53:09+00:00,2024-12-17 23:42:54+00:00,2024-12-17 23:42:53+00:00,,,https://github.com/twbs/bootstrap/issues/41105,False,False,média,1
2739147864,41098,Update a point in the RTL documentation,closed,2024-12-13 20:19:28+00:00,2024-12-16 09:21:18+00:00,2024-12-16 09:19:39+00:00,,,https://github.com/twbs/bootstrap/pull/41098,False,False,média,2
2736339662,41092, Multi-Step Form Component,closed,2024-12-12 16:16:12+00:00,2024-12-13 09:46:42+00:00,2024-12-13 07:15:53+00:00,,,https://github.com/twbs/bootstrap/issues/41092,False,False,média,0
